director,title
NA,"Karol Modzelewski, Łukasz „Lotek” Lodkowski No Offense"
NA,"Katarzyna Piasecka, Rafał Pacześ Seriously Funny"
NA,"Mariusz Kałamaga, Karol Kopiec, Wiolka Walaszczyk Hilarious Trio"
NA,"Rafał Banaś, Michał Leja Laugh out Loud"
NA,The Best of Rafał Rutkowski Olka Szczęśniak
NA,"Tomasz Jachimek, Jacek Stramik Laugh at Live"
Zack Whedon,Come and Find Me
Eric Stoltz,Class Rank
Conrad Helten,Barbie Dolphin Magic
Morgan Neville,Keith Richards: Under the Influence
Teo Konuralp,A Haunting at Silver Falls: The Return
Jesse V. Johnson,Avengement
Chris Perkel,Clive Davis: The Soundtrack of Our Lives
Cheh Chang,Five Elements Ninjas
Manny Rodriguez,Sebastian Maniscalco: What's Wrong with People?
Robert Eggers,The Witch
Chuck Russell,I Am Wrath
John Erick Dowdle,"As Above, So Below"
Edgar Wright,Scott Pilgrim vs. the World
Tony Elliott,ARQ
Troy Miller,Cedric the Entertainer: Live from the Ville
Louis C.K.,Louis C.K.: Hilarious
"Jeremy Coon, Tim Skousen",Raiders!: The Story of the Greatest Fan Film Ever Made
Orlando von Einsiedel,The White Helmets
Tom Donahue,Los Tigres del Norte at Folsom Prison
Michèle Ohayon,Steal a Pencil for Me
Timothy Woodward Jr.,The Outsider
Nia Dinata,Arisan 2
Mark O'Connor,Cardboard Gangsters
Ajithkumar,Eeda
Lucky Kuswandi,Galih dan Ratna
Riri Riza,Gie
Vijay Milton,​Goli Soda 2
Susannah Heath-Eves,Jugaad
Santwana Bardoloi,​Maj Rati ​​Keteki
Atanu Ghosh,​Mayurakshi
Amitava Bhattacharya,Red Oleanders Raktokarobi
Partha Chakraborty,Samantaral
"Raffi Ahmad, Arie Azis",The Secret
Angelina Jolie,First They Killed My Father
Pavel Parkhomenko,Gagarin: First in Space
Azfar Jafri,Janaan
R. Ellis Frazier,Larceny
R. Ellis Frazier,Rumble
Yance Ford,Strong Island
"Roman Atwood, Ben Pluimer",Natural Born Pranksters
Dan Forrer,Sample This
"Kip Andersen, Keegan Kuhn",Cowspiracy: The Sustainability Secret
B. V. Nandini Reddy,Oh! Baby
Randall Lobb,The Crystal Calls Making the Dark Crystal: Age of Resistance
Stacie Passon,We Have Always Lived in the Castle
Manop Janjarasskul,Bangkok Hell
Shinsuke Sato,Bleach
"Chatchai Katenut, Manussa Vorasingha, Tanwarin Sukkhapisit, Poj Arnon",Still
Ariel Vromen,The Angel
Nicole Holofcener,The Land of Steady Habits
Jerry G. Angelo,American Warfighter
Michael Feifer,Deviant Love
Elle Callahan,Head Count
Alex Stapleton,"Hello, Privilege. It's Me, Chelsea"
Kıvanç Baruönü,Locked on You
Teng Huatao,Shanghai Fortress
Nzingha Stewart,Tall Girl
"Mark Dennis, Ben Foster",Time Trap
NA,Reversing Roe
Ben Wallis,Ghost of the Mountains
Dan Krauss,Extremis
David Soren,Turbo
Alessio Cremonini,On My Skin
Elaine McMillion Sheldon,Heroin(e)
Michael Simon,Jeff Dunham: Relative Disaster
Joram Lürsen,The Resistance Banker
Oliver Frampton,The Forgotten
Mike Binder,Bill Burr: Paper Tiger
Ryan Murphy,Eat Pray Love
Orlando von Einsiedel,Evelyn
"Mark Franchetti, Andrew Meier",Our Godfather
Damián Romay,"My Teacher, My Obsession"
Trent Haaga,68 Kill
Mary Harron,American Psycho
Roger Donaldson,Dante's Peak
Petra Costa,Elena
Steven C. Miller,First Kill
Richard Miron,For the Birds
Tony Leondis,Igor
Roger Kumble,Just Friends
Kunle Afolayan,Mokalik (Mechanic)
Craig Gillespie,Mr. Woodcock
Nick Cassavetes,My Sister's Keeper
Clint Eastwood,Mystic River
Kunle Afolayan,1-Oct
"Petra Costa, Lea Glob",Olmo & the Seagull
"Roger Allers, Jill Culton",Open Season
Kunle Afolayan,Phone Swap
Wolfgang Petersen,Poseidon
Jonathan Demme,Rachel Getting Married
Bernie Denk,Spookley the Square Pumpkin
Ivan Reitman,Stripes
Greg Mottola,Superbad
Kunle Afolayan,The Bridge
Kunle Afolayan,The CEO
Alejandro Agresti,The Lake House
Daniel Stamm,The Last Exorcism
Phillip Noyce,The Saint
Tony Scott,The Taking of Pelham 123
Ahmed Zain,Uncle Naji in UAE
Mohamed Hamdy,Used Goods
Dennis Dugan,You Don't Mess with the Zohan
Jordi Llompart,Barça Dreams
Rian Johnson,Brick
Olivier Marchal,Carbon
Dennis Iliadis,Delirium
Qaushiq Mukherjee,Garbage
Sudip Bandyopadhyay,Hope Aur Hum
Onir,​​Kuch Bheege Alfaaz
Jatla Siddartha,Love and Shukla
Jeremy Saulnier,Murder Party
Kanwal Sethi,Once Again
Banjong Pisanthanakun,Pee Mak
Alfonso Cuarón,Solo Con Tu Pareja
Samuel Jouy,Sparring
Akiva Goldsman,Stephanie
Damien Leone,Terrifier
Karen Moncrieff,The Keeping Hours
Jean-Pierre Devillers,The Perfect Day
Sophon Sakdaphisit,The Promise
Curtis Hanson,The River Wild
Young Jun Lee,최강전사 미니특공대 : 영웅의 탄생
Rajiv Mehra,Aakhri Adaalat
NA,"Alias JJ, la celebridad del mal"
Toshiyuki Kubooka,Berserk: The Golden Age Arc II - The Battle for Doldrey
Toshiyuki Kubooka,Berserk: The Golden Age Arc III - The Advent
Todd S. Yellin,Brother's Shadow
NA,Chadi Jawani Budhe Nu
"Jesse Adang, Syrine Boulanouar",Concrete Football
Rajiv Mehra,Ek Jaan Hain Hum
Elizabeth Chai Vasarhelyi,Incorruptible
Toshiya Shinohara,Inuyasha the Movie - L'isola del fuoco scarlatto
Toshiya Shinohara,Inuyasha the Movie - La spada del dominatore del mondo
Toshiya Shinohara,InuYasha: The Movie 2: The Castle Beyond the Looking Glass
Mohammed Hussain,Khoon Khoon
Eli Craig,Little Evil
Parambrata Chatterjee,Lorai: Play to Live
Shammi Kapoor,Manoranjan
Umesh Mehra,Mujrim
Masahiko Murata,Naruto Shippuden : Blood Prison
Masahiko Murata,Naruto Shippûden the Movie: The Will of Fire
Masahiko Murata,Naruto Shippuden: The Movie: The Lost Tower
Hirotsugu Kawasaki,Naruto the Movie 2: Legend of the Stone of Gelel
Toshiyuki Tsuru,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom
Tensai Okamura,Naruto the Movie: Ninja Clash in the Land of Snow
Florian Schnell,Offline - Das leben ist kein bonuslevel
"Josh Izenberg, Wynn Padula",Resurface
"Thierry Demaizière, Alban Teurlai",Rocco
Spike Lee,She's Gotta Have It
"Latif Faiziyev, Umesh Mehra",Sohni Mahiwal
"Gastón Duprat, Mariano Cohn",The Distinguished Citizen
Bette Gordon,The Drowning
Gary Wang,The Guardian Brothers
Raz Degan,The Last Shaman
Israel Adrián Caetano,The Lost Brother
"Mariano Cohn, Gastón Duprat",Todo Sobre El Asado
Drew Stone,Who the F**k Is That Guy?
Joram Lürsen,A Noble Intention
Jelle de Jonge,Bon Bini Holland
Afia Nathaniel,Dukhtar
Luke Jurevicius,Figaro Pho
Sean Cisterna,Full Out
Will Allen,Holy Hell
Nacho G. Velilla,Off Course
NA,Saudi Arabia Uncovered
David Serrano,We Need to Talk
Jay Chapman,Iliza Shlesinger: War Paint
Jenny Gage,After
Kaila York,Home Is Where the Killer Is
Ifa Isfansyah,Garuda Di Dadaku
Stan Lathan,Mo Amer: The Vagabond
Angga Dwimas Sasongko,Surat Dari Praha
Evgeny Afineevsky,Winter on Fire: Ukraine's Fight for Freedom
Ryan Polito,Deon Cole: Cole Hearted
NA,The Spooky Tale of Captain Underpants Hack-a-ween
Kabir Bhatia,Pulang
Russell Crowe,The Water Diviner
Andrew Sandler,Chris Brown: Welcome to My Life
Ava DuVernay,13TH
Dave Higby,Russell Peters: Almost Famous
Richie Smyth,The Siege of Jadotville
Andibachtiar Yusuf,Love for Sale
Dustin Nguyen,Jackpot
Chris Eigeman,Seven in Heaven
Stanley Tong,Kung Fu Yoga
David France,The Death and Life of Marsha P. Johnson
Vandana Kataria,Noblemen
Angga Dwimas Sasongko,Cahaya Dari Timur Beta Maluku
Riri Riza,Emma' (Mother)
Olaf de Fleur,Malevolent
Tamara Jenkins,Private Life
NA,Super Monsters Save Halloween
NA,A Plastic Ocean
Onur Bilgetay,Brother in Love
Vincenzo Natali,In the Tall Grass
Tugçe Soysop,Kids on the Block
"Jacob Joice, Steve Ball",Super Monsters: Vida's First Halloween
Craig Goodwill,Compulsion
Riri Riza,The Dreamer
Mickey Liddell,The Haunting of Molly Hartley
Michael D. Black,LEGO Jurassic World: The Indominus Escape
Juani Libonatti,Grego Rossello: Disculpe las molestias
Dani de la Torre,Gun City
Jerrold Tarog,Heneral Luna
Judah Friedlander,Judah Friedlander: America Is the Greatest Country in the United States
Errol Morris,The B-Side: Elsa Dorfman's Portrait Photography
Oliver Blackburn,Kristy
Saravana Rajendran,Mehandi Circus
Onir,My Brother ... Nikhil
"Jitendra Tiwari, Pranav Singh",Shorgul
Vivek Wagh,Siddhant
Riri Riza,The Jungle School
Alex Israel,SPF-18
Lee Fulkerson,Forks Over Knives
Joe Camp,Benji's Very Own Christmas Story
Kavi Raz,The Black Prince
Nick Simon,Truth or Dare
Don Mancini,Cult of Chucky
Brandon Jones,Rodney Carrington: Here Comes the Truth
Alain Desrochers,Security
Brian Volk-Weiss,Arsenio Hall: Smart & Classy
NA,The Road to El Camino: Behind the Scenes of El Camino: A Breaking Bad Movie
Deniz Gamze Ergüven,Kings
Robert Vince,Pup Star
Everardo González,A 3 Minute Hug
Matt Kay,Little Miss Sumo
Drake Doremus,Equals
Robert Vince,Pup Star: Better 2Gether
Osgood Perkins,I Am the Pretty Thing That Lives in the House
Werner Herzog,Into the Inferno
Julien Rambaldi,The African Doctor
Yvan Attal,They Are Everywhere
Benjamin Weill,West Coast
"Scott Hussion, Seth Fuller",14 Cameras
Wilson Yip,Dragon Tiger Gate
Griffin Dunne,Joan Didion: The Center Will Not Hold
Roger Gual,7 años
J. Davis,Manson Family Vacation
Rob Smat,The Last Whistle
Tinge Krishnan,Been So Long
Aleksey German,Dovlatov
Eric Zaragosa,Incoming
Sergio Barrejón,Jefe
NA,Santo Cachón
Sandi Tan,Shirkers
Vijay Yelakanti,W/O Ram
Katherine Dieckmann,Strange Weather
Natalie Portman,A Tale of Love and Darkness
John Murlowski,Assimilate
Ozan Açıktan,Consequences 
Craig Brewer,Dolemite Is My Name
Billy Lyons,It Takes a Lunatic
Michael Steed,My Next Guest with David Letterman and Shah Rukh Khan
Zak Hilditch,Rattlesnake
Michael Steiner,The Awakening of Motti Wolkenbruch
Vlad Yudin,Ronnie Coleman: The King
"Paul Berczeller, Mark Radice",Meet the Trumps: From Immigrant to President
Quentin Tarantino,The Hateful Eight
"Chris Buck, Jennifer Lee, Patrick Osborne, Lauren MacMullan, John Kahrs, Nathan Greno, Byron Howard, Stevie Wermers, Dean Wellins, Kevin Deters, Roger Allers, Mike Gabriel, Mark Henn",Walt Disney Animation Studios Short Films Collection
Andrew Slater,Echo in the Canyon
"Glen Goei, Gavin Yap",Revenge of the Pontianak
S.S. Rajamouli,Baahubali: The Beginning (English Version)
Brian Klein,Jack Whitehall: At Large
"Katy Chevigny, Ross Kauffman",E-Team
Sarik Andreasyan,American Heist
Huw Cordey,Dancing with the Birds
Yuen Woo-ping,Master Z: The Ip Man Legacy
Steve Brill,ADAM SANDLER 100% FRESH
Don Michael Paul,Scorpion King 5: Book of Souls
Noah Baumbach,While We're Young
Jonathan Mostow,Hunter's Prayer
Brett Haley,I'll See You in My Dreams
Gillian Robespierre,Jenny Slate: Stage Fright
Tobe Hooper,The Texas Chainsaw Massacre
Daniel Benmayor,Tracers
Abu Bakr Shawky,يوم الدين
"Jedd Wider, Todd Wider",God Knows Where I Am
Nagesh Kukunoor,Aashayein
Priyadarshan,Bhool Bhulaiyaa
Raj Kanwar,Humko Deewana Kar Gaye
Pooja Bhatt,Kajraare
Satish Kaushik,Karzzzz
Nikhil Advani,Patiala House
Anees Bazmee,Ready
Andrew Bujalski,Results
Ben Wheatley,Free Fire
Riri Riza,The Rainbow Troops
Anthony Giordano,Joe Rogan: Triggered
Wyatt Cenac,Wyatt Cenac: Brooklyn
"Joanna Lombardi, Bruno Ascenzo",How to Get Over a Breakup
David Batty,The Gospel of John
Zak Hilditch,1922
Jennifer Siebel Newsom,Miss Representation
"Heidi Ewing, Rachel Grady",One of Us
Jeremy Rush,Wheelman
Luis Javier Henaine,Ready to Mingle
Anand Kamalakar,Salam - The First ****** Nobel Laureate
Don Michael Paul,Death Race: Beyond Anarchy
"Eric Idle, Aubrey Powell",Eric ldle's What About Dick?
Anthony Giordano,Joe Rogan: Strange Times
Will Yapp,Monty Python Conquers America
Eric Idle,"Monty Python Live (Mostly): One Down, Five to Go"
Will Yapp,Monty Python: Before the Flying Circus
NA,Monty Python: Live at Aspen
"Terry Hughes, Ian MacNaughton",Monty Python: Live at The Hollywood Bowl
"Roger Graef, James Rogan",Monty Python: The Meaning of Live
Terry Jones,Monty Python's Life of Brian
Ian MacNaughton,Parrot Sketch Not Included: Twenty Years of Monty Python
Albert Sharpe,The Meaning of Monty Python
Leslye Headland,Sleeping with Other People
Jay Karas,Anjelah Johnson: Not Fancy
Prakash Satam,Little Singham: Kaal Ki Tabaahi
Barry Sonnenfeld,Men in Black
Omoni Oboli,Moms at War
Thomas Vinterberg,The Command
Marcos Bucay,"Club de Cuervos Presents: I, Potro"
NA,Derren Brown: Sacrifice
Peter Lepeniotis,Gnome Alone
Kim Jee-woon,Illang: The Wolf Brigade
Rajesh Touchriver,Naa Bangaaru Talli
NA,Oddbods: Party Monsters
David Lam,S Storm
David Batty,The Gospel of Luke
David Batty,The Gospel of Mark
David Batty,The Gospel of Matthew
Timo Tjahjanto,The Night Comes for Us
Reem Kherici,Wedding Unplanned
Adze Ugah,10 Days in Sun City
Steve Gukas,93 Days
Ciarán Foy,Eli
Frank Rajah Arase,In My Country
Yılmaz Erdoğan,"Love, Surreal and Odd"
Tope Oshin,New Money
Daniel Sánchez Arévalo,Seventeen
Don Omope,Tatu
Ed Perkins,Tell Me Who I Am
Steven Soderbergh,The Laundromat
Tope Oshin,Up North
Udai Singh Pawar,Upstarts
Guntur Soeharjanto,Verses of Love 2
Thiru,Mr. Chandramouli
Federico Lemos,El Viaje: Márama y Rombai
Harald Zwart,The Karate Kid
Bruce McDonald,My Babysitter's a Vampire: The Movie
Bobcat Goldthwait,Patton Oswalt: Annihilation
Bassam Tariq,Ghosts of Sugar Land
Leslie Iwerks,League of Legends Origins
Kim Joo-hyung,Park Na-rae: Glamour Warning
Ciarán Foy,Sinister 2
Louie Psihoyos,The Game Changers
Tom Forrest,"Ron White: If You Quit Listening, I'll Shut Up"
Milan Luthria,Baadshaho
John Crowley,Closed Circuit
Ranjit Tiwari,Lucknow Central
Tom Fassaert,A Family Affair
Adam Dubin,Anthony Jeselnik: Thoughts and Prayers
Cary Joji Fukunaga,Beasts of No Nation
"Aaron Hann, Mario Miscione",Circle
Alexandros Avranas,Dark Crimes
Anindya Chatterjee,Homeland
Anik Datta,Meghnadbodh Rohoshyo
Rajkumar Hirani,Sanju
Ishaan Trivedi,A Scandall
Biswajeet Bora,Aisa Yeh Jahaan
Sohail Tatari,Ankur Arora Murder Case
David Stubbs,Belief: The Possession of Janet Moses
Madhur Bhandarkar,Calendar Girls
Parveen Kumar,Darra
Matías Gueilburt,El Che
Ananth Narayan Mahadevan,Gour Hari Dastaan: The Freedom File
Girish Malik,Jal
Debaloy Dey,Macchli Jal Ki Rani Hai
Martin Rosete,Money
Jasmine D'Souza,One Night Stand
Ben C. Lucas,OtherLife
Rohit Jugraj,Sardaarji 2
Shakti Samanta,Singapore
Raj B. Shetty,Story of an Egg
Navneet Behal,Tamanchey
Sukhbir Singh,Teshan
Naresh Saigal,Ujala
Ram Gopal Varma,Veerappan
Dhruv Dhawan,Why Knot
Thomas Sorriaux,A Mighty Team
Toshiyuki Kubooka,Berserk: The Golden Age Arc I - The Egg of the King
Noriyuki Abe,Bleach The Movie: Fade to Black
Noriyuki Abe,Bleach the Movie: Hell Verse
Clovis Cornillac,Blind Date
Hajime Kamegaki,Naruto Shippûden the Movie: Bonds
Hajime Kamegaki,Naruto Shippuden: The Movie
Jean-François Blais,"Martin Matte: La vie, la mort...eh la la..!"
Derek Hui,This Is Not What I Expected
Kevin MacDonald,Sky Ladder: The Art of Cai Guo-Qiang
Stefano Sollima,Suburra
Dave Higby,Russell Peters: Notorious
"Leïla Sy, Kery James",Street Flow
Shaad Ali,Soorma
Mahmoud al Massad,Blessed Benefit
Yesim Ustaoglu,Clair Obscur
Jan Suter,"El Especial de Alex Fernández, el Especial"
Lucy Cohen,Kingdom of Us
McG,The Babysitter
Noah Baumbach,The Meyerowitz Stories (New and Selected)
Christopher Guest,Mascots
Gareth Evans,Apostle
Paul Urkijo Alijo,Errementari: The Blacksmith and the Devil
Johanna Demetrakas,Feminists: What Were They Thinking?
Rizal Mantovani,Kuntilanak
Kief Davidson,ReMastered: Who Shot the Sheriff
Sara Colangelo,The Kindergarten Teacher
Mahmoud Sabbagh,Barakah Meets Barakah
Borja Cobeaga,Bomb Scared
Jonathan Demme,Justin Timberlake + the Tennessee Kids
Leo Riley,Iron Man & Captain America: Heroes United
Hakan Algül,Bygones Be Bygones
Vince Gilligan,El Camino: A Breaking Bad Movie
Brad Anderson,Fractured
Bolanle Austen-Peters,The Bling Lagosians
Sion Sono,The Forest of Love
Dennis Rovira van Boekholt,The Influence
Angga Dwimas Sasongko,Filosofi Kopi The Movie
Mohamed Diab,اشتباك
Naoto Amazutsumi,GEN HOSHINO STADIUM TOUR “POP VIRUS”
Paul Greengrass,22-Jul
"Rusty Cundieff, Darin Scott",Tales From the Hood 2
Jay Karas,Christina P: Mother Inferior
James Yukich,Chelsea Handler: Uganda Be Kidding Me Live
Maciej Dejczer,300 Miles to Heaven
Rusty Nixon,A.M.I.
Lee Tamahori,Along Came a Spider
Richard Rich,Alpha and Omega 2: A Howl-iday Adventure
Michael Bay,Bad Boys
Michael Bay,Bad Boys II
Ted Demme,Blow
Bernard Rose,Candyman
McG,Charlie's Angels
McG,Charlie's Angels: Full Throttle
Paul Haggis,Crash
Troy Miller,Dumb and Dumberer: When Harry Met Lloyd
Dave Green,Earth to Echo
Wojciech Marczewski,"Escape from the ""Liberty"" Cinema"
Andrzej Bartkowiak,Exit Wounds
Roy Poortmans,First Kiss
Brian Robbins,Good Burger
Mark Helfrich,Good Luck Chuck
"Jon Hurwitz, Hayden Schlossberg",Harold & Kumar Escape from Guantanamo Bay
Bille Woodruff,Honey 2
Janusz Majewski,Hotel Pacific
Alex Merkin,House of the Witch
Janusz Majewski,Jealousy and medicine
Alex Proyas,Knowing
Vrinda Samartha,Limitless
NA,Little Baby Bum: Go Buster
Jacek Koprowicz,Medium
Barry Sonnenfeld,Men in Black II
Nicholaus Goossen,Nikki Glaser: Bangin’
Scott Hicks,No Reservations
Steven Soderbergh,Ocean's Thirteen
Steven Soderbergh,Ocean's Twelve
Morgan Spurlock,One Direction: This Is Us
Martin Scorsese,Raging Bull
"Stig Bergqvist, Paul Demeyer",Rugrats in Paris: The Movie
Wes Craven,Scream 2
Asif Kapadia,Senna
"Robert Rodriguez, Frank Miller",Sin City
Dorian Fernández-Moris,Sinister Circle
Jeannot Szwarc,Supergirl
Bryan Singer,Superman Returns
"Ash Brannon, Chris Buck",Surf's Up
Andy Tennant,The Bounty Hunter
Rob Reiner,The Bucket List
Marek Piwowski,The Cruise
Kunle Afolayan,The Figurine (Araromire)
Brian Levant,The Flintstones
Brian Levant,The Flintstones in Viva Rock Vegas
Stanisław Różewicz,The lynx
Gabriele Muccino,The Pursuit of Happyness
"Igor Kovalyov, Norton Virgien",The Rugrats Movie
Krzysztof Zanussi,The spiral
Noah Baumbach,The Squid and the Whale
Robert Schwentke,The Time Traveler's Wife
Danny Boyle,Trainspotting
Wolfgang Petersen,Troy
Paul Feig,Unaccompanied Minors
"Alex Smith, Andrew J. Smith",Walking Out
Antoni Krauze,Weather forecast
Stanisław Różewicz,Westerplatte Resists
Simranjit Singh Hundal,25 Kille
Justin G. Dyck,A Witches' Ball
Ram Gopal Varma,Agyaat
N. Linguswamy,Anjaan
Deep Joshi,Bathinda Express
Antoine Fuqua,Brooklyn's Finest
John Curran,Chappaquiddick
Rakeysh Omprakash Mehra,Delhi 6
Anurag Kashyap,Dev.D
Manjeet Maan,Dil Vil Pyaar Vyaar
Shagufta Rafique,Dushman
Shakun Batra,Ek Main Aur Ekk Tu
Andrew Renzi,Fishtail
Tinu Pappachan,Freedom at Midnight
Amitoj Mann,Haani
Amarpreet G S Chabbra,Happy Go Lucky
Paresh Mokashi,Harishchandrachi Factory
Anurag Basu,Jagga Jasoos
Rohit Jugraj,Jatt James Bond
Ashutosh Gowariker,Jodhaa Akbar
Atharv Baluja,Judge Singh LLB
Vishal Bhardwaj,Kaminey
"Leslie Small, Tim Story",Kevin Hart: Laugh at My Pain
Shannon Hartman,Kevin Hart: Seriously Funny
Rohit Jugraj,Khido Khundi
Shashanka Ghosh,Khoobsurat
Puneet Sira,Kisaan
Aziz Mirza,Kismat Konnection
Renzil D'Silva,Kurbaan
Smeep Kang,Lock
Sameer Sharma,Luv Shuv Tey Chicken Khurana
Chandan Arora,"Main, Meri Patni Aur Woh"
Baljit Singh Deo,Manje Bistre
Amitoj Mann,Motor Mitraan Di
Jennifer Peedom,Mountain
Mysskin,Mugamoodi
Rajan Madhav,Muran
Raaghav Dar,My Friend Pinto
Ishi Rudell,My Little Pony Equestria Girls: Forgotten Friendship
Ishi Rudell,My Little Pony Equestria Girls: Rollercoaster of Friendship
David Lee Miller,My Suicide
Thiru,Naan Sigappu Manithan
Amit Saxena,Nasha
Pankaj Batra,Naughty Jatts
Jaivi Dhanda,Needhi Singh
Suman Ghosh,Peace Haven
Kabir Khan,Phantom
Akshay Akkineni,Pizza
