continent,country_code,country_name
Africa,SWZ,"Swaziland, Kingdom of"
Europe,SWE,"Sweden, Kingdom of"
Europe,CHE,"Switzerland, Swiss Confederation"
Asia,SYR,Syrian Arab Republic
Asia,TJK,"Tajikistan, Republic of"
Asia,THA,"Thailand, Kingdom of"
Africa,TGO,"Togo, Togolese Republic"
Oceania,TKL,Tokelau
Oceania,TON,"Tonga, Kingdom of"
North America,TTO,"Trinidad and Tobago, Republic of"
Asia,ARE,United Arab Emirates
Africa,TUN,"Tunisia, Tunisian Republic"
Europe,TUR,"Turkey, Republic of"
Asia,TUR,"Turkey, Republic of"
Asia,TKM,Turkmenistan
North America,TCA,Turks and Caicos Islands
Oceania,TUV,Tuvalu
Africa,UGA,"Uganda, Republic of"
Europe,UKR,Ukraine
Europe,MKD,"Macedonia, The Former Yugoslav Republic of"
Africa,EGY,"Egypt, Arab Republic of"
Europe,GBR,United Kingdom of Great Britain & Northern Ireland
Europe,GGY,"Guernsey, Bailiwick of"
Europe,JEY,"Jersey, Bailiwick of"
Europe,IMN,Isle of Man
Africa,TZA,"Tanzania, United Republic of"
North America,USA,United States of America
North America,VIR,United States Virgin Islands
Africa,BFA,Burkina Faso
South America,URY,"Uruguay, Eastern Republic of"
Asia,UZB,"Uzbekistan, Republic of"
South America,VEN,"Venezuela, Bolivarian Republic of"
Oceania,WLF,Wallis and Futuna
Oceania,WSM,"Samoa, Independent State of"
Asia,YEM,Yemen
Africa,ZMB,"Zambia, Republic of"
Oceania,NA,Disputed Territory
